DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
10/1/2020,14690,14713.3,14588,14685.2,1080,532
9/1/2020,14536,14680,14456.8,14644.7,2214,738
8/1/2020,14249.95,14415.95,14120.2,14388.25,1655,683
7/1/2020,14497,14527.6,14255,14289.8,1818,825
6/1/2020,14575,14575,14274.85,14409.45,3425,1330
3/1/2020,14756,14756,14526.05,14596.95,23054,510
2/1/2020,14869.25,14869.25,14700,14724.75,1399,662
1/1/2020,14819.95,14838,14720,14777.9,646,343
31-12-2019,14890,14917,14701.1,14789.95,1016,513
30-12-2019,14652.2,14902.5,14620,14867.2,1453,624
27-12-2019,14599.45,14680,14583.4,14651.75,535,308
26-12-2019,14582,14700,14550,14599.45,973,442
24-12-2019,14550,14609.65,14490,14586.9,1563,621
23-12-2019,14899,14994,14490.15,14527.1,2826,1004
20-12-2019,14244,14979.85,14244,14833.2,5258,1792
19-12-2019,14214,14299.85,14100,14281.4,962,383
18-12-2019,14159.3,14279,14054.35,14215.9,1617,627
17-12-2019,14150.6,14232.6,14088,14144.5,1037,349
16-12-2019,14305,14422,14133.6,14153.1,1168,443
13-12-2019,14244,14372.85,14015,14313.8,1445,530
12/12/2019,14114.1,14220.05,14081.95,14169.6,928,374
11/12/2019,14103.05,14155,14020,14068.15,10662,201
10/12/2019,14211,14240.7,14040,14096.3,4810,401
9/12/2019,14159.5,14267.15,14008.05,14237.35,852,429
6/12/2019,14295.95,14307.2,14150,14159.5,562,253
4/12/2019,14324.8,14361.9,14201.25,14300.2,769,336
3/12/2019,14563.1,14563.1,14300.15,14337.5,1602,532
2/12/2019,14460,14625.4,14299,14552.9,1495,634
29-11-2019,14660,14680,14415,14455.95,10105,449
28-11-2019,14600,14700,14573.95,14663.1,10055,530
27-11-2019,14550,14669,14513.9,14585.65,1546,540
26-11-2019,14487,14599,14240.95,14531.55,1772,605
25-11-2019,14269,14515,14180,14489.15,1364,538
22-11-2019,14252.05,14291.4,14108,14170.65,803,367
21-11-2019,14230,14271.2,14129.05,14167.6,1252,403
20-11-2019,14111,14287.9,13990,14226.75,5108,656
19-11-2019,14155,14198.7,14021.6,14107.25,1138,400
18-11-2019,14320.8,14320.8,14054.05,14081.9,5696,984
15-11-2019,14201.05,14434.7,14166.15,14297.2,4022,968
14-11-2019,14261.85,14280.55,14101.3,14237.4,1271,530
13-11-2019,14128,14328.7,14063.8,14234.75,2811,743
11/11/2019,14500,14579.2,14050,14107.5,3808,1369
8/11/2019,14714,14839,14399.05,14474.65,2747,918
7/11/2019,14688.2,14784,14558,14719.6,3754,1467
6/11/2019,14680,14810.8,14595,14651.7,2279,522
5/11/2019,14835.5,14859.35,14606,14650.35,1745,681
4/11/2019,15022,15078,14800,14817.05,805,390
1/11/2019,14965,15068.85,14891.95,14964.3,814,369
31-10-2019,15035,15150,14798.1,14961.4,2179,833
30-10-2019,14765,14999,14765,14958.6,2084,657
29-10-2019,14911,14911,14509.2,14675.2,7471,583
27-10-2019,14874.95,14930,14778.95,14808.3,813,254
25-10-2019,14746,14897.95,14472,14794.85,5325,1480
24-10-2019,15022,15022,14626,14677.2,2253,762
23-10-2019,15099,15120,14932.15,14982.35,2339,700
22-10-2019,14921,15113,14840,15039.1,7240,1639
18-10-2019,14510,14921.6,14392.35,14838.3,3148,1062
17-10-2019,14415,14606.6,14160.8,14512.75,8340,2224
16-10-2019,14088,14410,14088,14348.6,2281,674
15-10-2019,14175,14198,13711.6,14080.65,4001,837
14-10-2019,14100,14214.75,14040,14174.1,2260,741
11/10/2019,13840,14060,13840,14038.6,3041,948
10/10/2019,13813.15,13866,13700,13839.85,1554,472
9/10/2019,13650,13908.4,13600,13875.5,2222,680
7/10/2019,13522,13690.95,13464,13599.95,2051,644
4/10/2019,13710,13778.6,13338.15,13455.45,2132,910
3/10/2019,13699,13739.65,13579,13710.9,1047,356
1/10/2019,13938.95,13938.95,13629.7,13677.55,2278,848
30-09-2019,13741.85,13990,13683,13912.5,1624,599
27-09-2019,13800.15,13897.7,13600,13741.85,4695,1456
26-09-2019,13563,14128.25,13550,13945.1,7359,1895
25-09-2019,13430,13503.95,13315.05,13463.45,1765,630
24-09-2019,13710,13710,13325,13430.75,2684,1094
23-09-2019,13532,14300,13400,13669.85,8594,2676
20-09-2019,12693.9,13620,12541.45,13502.35,11183,3637
19-09-2019,12822,12888,12634.75,12699.45,1776,579
18-09-2019,12785.5,12895.45,12650,12870.35,1157,438
17-09-2019,12800,12847.5,12709.15,12763.05,1948,619
16-09-2019,12690,12864.9,12616.5,12843.45,1633,564
13-09-2019,12658,12716.9,12510,12696.35,6041,928
12/9/2019,12756.8,12829,12525,12567.45,2025,799
11/9/2019,12830,12830,12663.75,12757.2,1393,685
9/9/2019,12600,12876.5,12600,12842.3,1819,693
6/9/2019,12355,12714.85,12355,12572.2,2879,751
5/9/2019,12580.75,12668.7,12515,12604.05,1895,604
4/9/2019,12711,12785.1,12350,12465.15,4514,1231
3/9/2019,12850,12895,12607,12684.3,2253,840
30-08-2019,12764,12946.15,12568.5,12849.95,3749,1360
29-08-2019,12620,12887,12620,12713.9,7537,1713
28-08-2019,12440,12850.55,12425,12514.7,3248,1057
27-08-2019,12395,12542.55,12350,12473.45,1245,460
26-08-2019,12566,12592,12234.95,12390.9,2338,932
23-08-2019,12453,12521.4,12278.55,12451.25,1818,703
22-08-2019,12649.9,12795.7,12410.85,12458.55,3912,1441
21-08-2019,11970.35,12635,11970.35,12587.45,12696,3682
20-08-2019,12072,12142.65,11927.55,11963.35,1518,573
19-08-2019,12007,12250,12007,12058.7,1158,418
16-08-2019,12099,12099,11933.7,12011.1,915,389
14-08-2019,11938,12154,11871.9,12030.8,1861,688
13-08-2019,12000,12189.9,11806.5,11871.9,2899,916
9/8/2019,11879,12266.25,11700,11981.5,5304,1572
8/8/2019,11822,11933.7,11785,11844.15,6426,778
7/8/2019,11869,11908.95,11750,11771.95,1518,595
6/8/2019,11740,11994.8,11717,11832.1,2699,834
5/8/2019,11580,11912,11545,11727.3,3186,1049
2/8/2019,11520,11525,11299.95,11427.85,15613,839
1/8/2019,11680,11680,11448.5,11544.1,1050,393
31-07-2019,11531.25,11729.75,11407,11671.7,959,363
30-07-2019,11660,11694.85,11500,11531.2,837,415
29-07-2019,11619,11682,11477.4,11621.65,3357,338
26-07-2019,11538.55,11664,11470.2,11619.95,1059,309
25-07-2019,11522.05,11655.6,11450,11492.25,1370,420
24-07-2019,11508.4,11602.8,11302.65,11480.45,1001,379
23-07-2019,11317,11680,11317,11467.55,1796,630
22-07-2019,11500,11571,11270.7,11317.7,1563,514
19-07-2019,11646,11719,11512,11552.8,851,356
18-07-2019,11705.7,11740,11547.45,11582.75,1609,511
17-07-2019,11666,11742.4,11618,11699.3,461,216
16-07-2019,11525,11720,11489.3,11697.35,1159,390
15-07-2019,11681,11692.95,11466.2,11483.8,992,424
12/7/2019,11567,11715.2,11511.1,11679.05,1978,647
11/7/2019,11575.65,11593.9,11475,11497,9383,396
10/7/2019,11651.5,11797,11530.05,11554.6,9688,481
9/7/2019,11756.5,11804.75,11650,11685.6,1009,439
8/7/2019,11929,11929,11763,11801.25,1060,399
5/7/2019,11959,11998,11843.6,11953.6,975,356
4/7/2019,11843.9,11959.1,11843.9,11879.6,525,187
3/7/2019,11965,11985.55,11787,11808.85,1197,365
2/7/2019,11898,11998.95,11802.4,11965.55,1316,384
1/7/2019,11949,12025.65,11820,11852.45,1819,577
28-06-2019,11849,11940,11759,11920.65,2109,659
27-06-2019,11857.1,11857.1,11686.1,11809.55,46423,3976
26-06-2019,11705.1,11947.95,11675,11800.6,8985,1071
25-06-2019,11665.65,11717.6,11618.15,11705.1,609,206
24-06-2019,11616.15,11751,11616.15,11708.6,790,285
21-06-2019,11700,11782.15,11534.9,11596,1301,582
20-06-2019,11650,11750,11500,11718.35,1436,406
19-06-2019,11500,11644.95,11464.5,11613.85,1254,386
18-06-2019,11525,11544.95,11305,11454.95,1833,569
17-06-2019,11555,11616.15,11430.05,11472.35,21913,501
14-06-2019,11625,11722,11452.2,11490.05,1366,436
13-06-2019,11670,11671,11572.75,11608.95,5882,608
12/6/2019,11641,11760,11530.55,11713.75,3891,854
11/6/2019,11750,11820,11518.5,11641.3,6302,1358
10/6/2019,11512,11820,11452.5,11747.4,2775,850
7/6/2019,11614.5,11630.85,11451.7,11508.75,3394,1275
6/6/2019,11583.2,11666,11551.7,11599.55,1620,550
4/6/2019,11694,11694,11427.25,11526,3345,962
