DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
15-07-2020,598.7,627.8,592.6,615.2,268246,5797
14-07-2020,605,613.45,588.5,590.8,182380,4446
13-07-2020,584.9,604.75,583.8,602.6,226908,6498
10/7/2020,589.9,589.9,580.05,582.35,85324,1538
9/7/2020,574.8,591.25,574,588.25,106061,2352
8/7/2020,595,596,573,574.65,124423,3420
7/7/2020,583.75,594.1,574.9,591.9,239468,5155
6/7/2020,579,588.95,577.5,578.6,76396,2048
3/7/2020,572,580.35,571,579,137972,4633
2/7/2020,552.05,572.05,551,569.85,189170,3728
1/7/2020,555.9,559.45,551,551.5,34043,1148
30-06-2020,554,560.6,553.6,556.3,115574,5234
29-06-2020,562.5,565.9,550.45,553.8,85072,3347
26-06-2020,550,573.65,545.15,562.75,141975,3397
25-06-2020,560,560.55,548.45,549.8,123239,2994
24-06-2020,580,580,554.6,559.35,131931,4595
23-06-2020,570,583.35,563.65,580.95,101624,2790
22-06-2020,573,576.5,566.1,569.55,114515,2966
19-06-2020,574.05,577.7,567.1,569.9,96389,2933
18-06-2020,568,583.45,568,579.35,65731,2250
17-06-2020,583.95,583.95,573.3,575.45,50776,1769
16-06-2020,585,593.3,578.8,580.9,347398,2971
15-06-2020,571.7,580.9,564,578.7,86804,2654
12/6/2020,560,578,556.3,571.7,124157,3319
11/6/2020,581,584.55,574.5,578.05,53850,1793
10/6/2020,573.05,587.35,573.05,578.75,147919,5433
9/6/2020,577.7,583.6,571.1,572.95,63257,2216
8/6/2020,578.5,583.75,571.7,578.25,344011,3631
5/6/2020,583,586.5,572.75,575.9,116468,3032
4/6/2020,567,583.9,559.5,578.9,126151,4676
3/6/2020,567.85,568.5,557.2,563.2,88524,2894
2/6/2020,557,567.65,550.5,560.5,119816,3467
1/6/2020,559,573.45,555.35,559.35,151900,4832
29-05-2020,543.1,554.9,537.25,550.4,130836,3981
28-05-2020,532.05,546,523.35,544.25,138207,3454
27-05-2020,524,533.7,516.15,531.25,63472,2284
26-05-2020,539.95,539.95,520.35,524,64471,2269
22-05-2020,530.2,534.65,523,530.2,298655,2616
21-05-2020,531,537.5,523.8,534.75,57691,2143
20-05-2020,513,528.65,513,526.8,71371,2794
19-05-2020,502.1,520.95,502.1,518.65,100788,2848
18-05-2020,514.6,518.75,507.95,511.05,73549,2697
15-05-2020,516.75,517.35,505.7,511.25,51177,1796
14-05-2020,510.2,527.5,510.2,516.75,254897,2547
13-05-2020,563.8,563.8,522,528.35,105134,2913
12/5/2020,528,540,520.7,525.95,134374,3949
11/5/2020,526.4,534.85,521.55,527.75,125641,4217
8/5/2020,522,522.05,502.5,518.3,363450,10272
7/5/2020,539,542.4,508.2,511.8,632479,16867
6/5/2020,515,526.4,506.4,519.6,93521,6097
5/5/2020,524,529.6,515.9,520.25,120006,5322
4/5/2020,536,536,508.35,514.35,133799,5678
30-04-2020,508,550,501.6,542.8,142530,4743
29-04-2020,480,500,470.45,491.5,232810,5342
28-04-2020,487,488.95,469.5,472.1,347683,3852
27-04-2020,469.05,485.85,467.8,483.6,162823,3413
24-04-2020,477,497.05,464.9,468.45,132249,3943
23-04-2020,466.8,480.8,463.45,478.5,410402,3981
22-04-2020,455,469.1,450.1,462.6,63397,2428
21-04-2020,464.5,464.5,448,455.8,61072,2153
20-04-2020,472,473.45,454,470.2,77573,2845
17-04-2020,474,474.9,453.9,455.35,77568,3273
16-04-2020,478,478,457.1,459.65,221477,5601
15-04-2020,465,481,463.05,478.65,223551,3101
13-04-2020,471.95,472,454.25,458.3,68759,2288
9/4/2020,475,480,462.3,468.9,312265,4686
8/4/2020,451,476.5,449.6,462.65,99631,4225
7/4/2020,428,458.5,425.65,451.8,131764,5423
3/4/2020,427.5,428.1,399.65,404.95,134575,4855
1/4/2020,440,440,408.4,413.05,562391,10243
31-03-2020,434,449.05,425.55,436.75,176457,7238
30-03-2020,429,438.75,411.9,420.2,1106756,6303
27-03-2020,457,460,420.6,431.8,292876,6812
26-03-2020,455,471.5,441.1,451.55,292554,6072
25-03-2020,439,467.7,417.75,448.35,89738,4076
24-03-2020,418.8,459.5,410.05,441.95,252504,7026
23-03-2020,425,464,399.7,417.75,180563,5938
20-03-2020,415,461.7,412.8,445.45,143452,5318
19-03-2020,425,434.2,375.5,412.8,284901,11420
18-03-2020,452,464.05,429.4,437.2,270688,9660
17-03-2020,450,478.5,443.5,452.25,173179,4889
16-03-2020,492.9,492.9,447,450.85,268452,8700
13-03-2020,485,516,400,492.65,267765,12872
12/3/2020,525,525,486.65,492.9,132917,4361
11/3/2020,538.9,542.65,513.55,536.8,67456,4940
9/3/2020,569.05,569.05,536.75,540.7,154250,5878
6/3/2020,570,573.35,560,566.35,202841,1917
5/3/2020,566,582.2,565,577.1,188627,3538
4/3/2020,572,575.4,561.2,562.8,236385,3898
3/3/2020,550.1,569,550.1,565.35,69462,4121
2/3/2020,549.8,565.6,538.25,548.85,175989,6675
28-02-2020,565.8,565.8,531.3,534.1,319189,9590
27-02-2020,584,584,568.25,574.15,180377,6917
26-02-2020,579.95,589.1,575.5,584,754456,4584
25-02-2020,590,596.35,575.25,582.65,72980,4327
24-02-2020,609,609.2,592.15,595.15,72439,3507
20-02-2020,603.25,612.9,603.25,608.15,96989,3826
19-02-2020,611.2,617.9,604,605.7,36001,1422
18-02-2020,614,615.65,605,607,381914,1688
17-02-2020,624,624,612.4,613.4,31396,1265
14-02-2020,613,623,612.45,621.4,57865,2720
13-02-2020,612.55,613.9,604,612.7,28511,1315
12/2/2020,615,620.35,610.4,613.95,40069,1951
11/2/2020,610,613.55,606.8,610.6,28655,1808
10/2/2020,608.8,611.15,601.8,605.65,131410,4361
7/2/2020,612,612,599.6,607.5,51487,1080
6/2/2020,598.2,612.8,596.4,599.35,61664,1853
5/2/2020,588.35,598.45,585.6,595.1,175843,3077
4/2/2020,583.1,589.5,582.75,586.65,94060,4459
3/2/2020,594.75,594.75,577.8,579,55911,5093
1/2/2020,592.15,597.6,581.35,591.05,28485,1214
31-01-2020,606,608,589.6,591.5,36296,1394
30-01-2020,609.3,613.95,604,608.05,964490,3881
29-01-2020,604.1,611.5,602.3,609.05,39681,2845
28-01-2020,605,606.7,593,602.1,47542,3616
27-01-2020,609,609,602,604.35,28536,2124
24-01-2020,600,609.25,596.2,607.7,56920,3655
23-01-2020,594,599.95,589,598.3,71033,5070
22-01-2020,584.5,595,582.3,590.35,70770,4982
21-01-2020,589,593.3,582.15,584.3,82825,3809
20-01-2020,618.9,618.9,584.25,589.2,299948,9720
17-01-2020,580,602,580,598.8,108100,3611
16-01-2020,596,598,586.8,593.4,29197,1731
15-01-2020,595,598.3,591.9,595.55,71192,2291
14-01-2020,592,597.3,587.1,594.15,69360,3455
13-01-2020,581,589.8,581,586.4,49842,2118
10/1/2020,580.75,589.75,577.35,580.5,116404,2532
9/1/2020,586.75,588,579.35,580.1,188719,2530
8/1/2020,585,593.15,578.05,585.65,67914,2780
7/1/2020,585,588,579.3,584.25,32259,2510
6/1/2020,584.1,591.9,579.8,581.9,155603,3411
3/1/2020,575,588.5,573.25,584.65,85559,2646
2/1/2020,575,575,570.05,573.45,30454,1149
1/1/2020,572,572.9,567.25,571.85,93437,1989
31-12-2019,569.9,571.35,565.25,568.25,101341,1883
30-12-2019,566,576.8,564.15,570.05,132952,2523
27-12-2019,561,569.2,556.8,568,63437,1809
26-12-2019,561,565.2,559.75,560.85,275908,7143
24-12-2019,571.2,571.55,559.5,560.6,48422,1929
23-12-2019,569.5,575,567,571.35,23222,844
20-12-2019,572.5,573.25,565.8,571.3,197842,1989
19-12-2019,565.5,573.95,565,569.05,158549,1900
18-12-2019,560,566.7,559.05,564.7,460088,1649
17-12-2019,554,559.25,553.05,557.5,35719,1560
16-12-2019,547,555.05,546.55,552.3,98613,2312
