DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
22-11-2019,1715,1715,1676.25,1682.4,82012,3000
21-11-2019,1723.15,1733.55,1711.05,1719.8,116324,2236
20-11-2019,1740,1748.4,1716.55,1722.8,59062,1973
19-11-2019,1740.1,1746.75,1719.2,1721,191367,1931
18-11-2019,1766,1766,1734.85,1738.8,43677,2049
15-11-2019,1780,1783.75,1757.4,1761.65,20780,1708
14-11-2019,1771,1799.2,1767.05,1775.1,81018,2686
13-11-2019,1775,1786.5,1756.95,1770.4,30488,1681
11-11-2019,1793,1793.55,1768.4,1773.8,31636,2142
08-11-2019,1825,1827.2,1791.75,1794.55,57071,3049
07-11-2019,1804,1830.5,1798.15,1826.65,60768,3507
06-11-2019,1784.55,1814.75,1781.65,1798.35,59570,3030
05-11-2019,1784.9,1797.95,1767.55,1794.6,30360,1543
04-11-2019,1776.9,1790,1766.45,1785.65,23767,1457
01-11-2019,1801,1821.4,1761.9,1765.95,49397,4073
31-10-2019,1825.3,1833.65,1804.25,1810.75,21191,1106
30-10-2019,1823,1827,1804.45,1821.3,33456,1963
29-10-2019,1793,1819.5,1774,1814.8,57674,1879
27-10-2019,1801,1807.7,1790,1793.95,6091,526
25-10-2019,1791,1808.95,1785.05,1797,81860,1709
24-10-2019,1777,1794.8,1753.9,1790.75,39297,2347
23-10-2019,1765,1800.9,1763.2,1766.4,59710,2926
22-10-2019,1817.05,1821.6,1775.6,1779.8,50540,2939
18-10-2019,1812.95,1823.85,1788.7,1816.6,36016,1743
17-10-2019,1768.3,1816.4,1755.65,1812.95,39796,2209
16-10-2019,1808,1813.9,1757.35,1765.7,35320,2311
15-10-2019,1797,1824.15,1797,1802.5,53941,2166
14-10-2019,1789,1806.15,1785,1797.65,33469,1885
11-10-2019,1782,1801.6,1764.55,1790,33981,1915
10-10-2019,1770,1793.25,1758.85,1778.45,37922,2022
09-10-2019,1723,1777.4,1723,1773.15,36346,1676
07-10-2019,1724,1743,1717.8,1722.6,40018,1677
04-10-2019,1752,1760,1717.55,1724.75,25278,1569
03-10-2019,1764.7,1766.4,1733.25,1749.25,39156,1955
01-10-2019,1767.35,1799,1758,1764.7,76263,2255
30-09-2019,1772,1772,1738.5,1763.7,26551,1446
27-09-2019,1770,1780.4,1736.4,1776.25,39097,1922
